,INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
160393,FUTIDX,BANKNIFTY,29-Aug-19,0,XX,28805.65,28924,28140.55,28499.3,28499.3,214569,1225914.96,1675780,234640,01-Aug-19
160394,FUTIDX,BANKNIFTY,26-Sep-19,0,XX,28926.4,29030.55,28251.7,28611.45,28611.45,2484,14245.95,51400,-80,01-Aug-19
160395,FUTIDX,BANKNIFTY,31-Oct-19,0,XX,29000,29105,28355.55,28699.05,28699.05,598,3434.43,9460,4860,01-Aug-19
160396,FUTIDX,NIFTY,29-Aug-19,0,XX,11098.4,11098.4,10901.1,11015.35,11015.35,199881,1650955.24,19001400,1339200,01-Aug-19
160397,FUTIDX,NIFTY,26-Sep-19,0,XX,11136.35,11145.2,10955,11066.6,11066.6,5283,43841.57,893625,66750,01-Aug-19
160398,FUTIDX,NIFTY,31-Oct-19,0,XX,11175,11185.95,10991.45,11101.6,11101.6,1530,12746.44,115725,47775,01-Aug-19
160399,FUTIDX,NIFTYIT,29-Aug-19,0,XX,15670,15670,15350,15423,15423,159,1230.09,13850,0,01-Aug-19
160400,FUTIDX,NIFTYIT,26-Sep-19,0,XX,15539,15545,15539,15542,15542,2,15.54,100,100,01-Aug-19
160401,FUTIDX,NIFTYIT,31-Oct-19,0,XX,0,0,0,15754,15585,0,0,0,0,01-Aug-19
160402,FUTSTK,ACC,29-Aug-19,0,XX,1547.1,1555.4,1506.4,1522.65,1522.65,3536,21691.65,2292000,63200,01-Aug-19
160403,FUTSTK,ACC,26-Sep-19,0,XX,1558.7,1558.7,1518.65,1528,1528,20,123.28,10800,3600,01-Aug-19
160404,FUTSTK,ACC,31-Oct-19,0,XX,0,0,0,1613.85,1540.3,0,0,0,0,01-Aug-19
160405,FUTSTK,ADANIENT,29-Aug-19,0,XX,127.15,129.25,122.95,125.7,125.7,2172,10902.58,29472000,24000,01-Aug-19
160406,FUTSTK,ADANIENT,26-Sep-19,0,XX,129.1,129.1,123.4,125.8,125.8,23,115.1,224000,0,01-Aug-19
160407,FUTSTK,ADANIENT,31-Oct-19,0,XX,129.95,130,126.65,126.65,126.65,5,25.84,20000,20000,01-Aug-19
160408,FUTSTK,ADANIPORTS,29-Aug-19,0,XX,376,379.4,368.25,373.25,373.25,2337,21794.16,14905000,-295000,01-Aug-19
160409,FUTSTK,ADANIPORTS,26-Sep-19,0,XX,379,379.35,370,374.75,374.75,83,779.18,177500,50000,01-Aug-19
160410,FUTSTK,ADANIPORTS,31-Oct-19,0,XX,0,0,0,386.35,377.25,0,0,5000,0,01-Aug-19
160411,FUTSTK,ADANIPOWER,29-Aug-19,0,XX,60.65,61.2,58.15,59.5,59.5,1348,16039.42,110860000,-960000,01-Aug-19
160412,FUTSTK,ADANIPOWER,26-Sep-19,0,XX,58.95,60.35,58.8,59.75,59.75,16,189.95,380000,40000,01-Aug-19
160413,FUTSTK,ADANIPOWER,31-Oct-19,0,XX,0,0,0,63.25,60.4,0,0,0,0,01-Aug-19
160414,FUTSTK,AMARAJABAT,29-Aug-19,0,XX,662.4,671.55,651.8,660.35,660.35,3321,15354.57,1731100,132300,01-Aug-19
160415,FUTSTK,AMARAJABAT,26-Sep-19,0,XX,657,663,647,655.45,655.45,62,284.2,46900,2100,01-Aug-19
160416,FUTSTK,AMARAJABAT,31-Oct-19,0,XX,0,0,0,647.45,676.6,0,0,0,0,01-Aug-19
160417,FUTSTK,AMBUJACEM,29-Aug-19,0,XX,201.5,202.5,195.25,198,198,2256,11252.37,21242500,730000,01-Aug-19
160418,FUTSTK,AMBUJACEM,26-Sep-19,0,XX,203.15,203.15,197.8,198.85,198.85,21,105.46,115000,10000,01-Aug-19
160419,FUTSTK,AMBUJACEM,31-Oct-19,0,XX,0,0,0,217.95,200.05,0,0,0,0,01-Aug-19
160420,FUTSTK,APOLLOHOSP,29-Aug-19,0,XX,1349.85,1380.5,1342.65,1364.2,1364.2,1607,10977.34,1263500,-8000,01-Aug-19
160421,FUTSTK,APOLLOHOSP,26-Sep-19,0,XX,1355,1374.35,1355,1364.55,1379.4,18,122.95,13500,3000,01-Aug-19
160422,FUTSTK,APOLLOHOSP,31-Oct-19,0,XX,1365.4,1380,1365.4,1370,1388.1,3,20.57,2500,1000,01-Aug-19
160423,FUTSTK,APOLLOTYRE,29-Aug-19,0,XX,157,158.5,152.45,155,155,2558,11916.79,9492000,-237000,01-Aug-19
160424,FUTSTK,APOLLOTYRE,26-Sep-19,0,XX,158,158.35,153.9,155.05,155.05,36,168.89,228000,18000,01-Aug-19
160425,FUTSTK,APOLLOTYRE,31-Oct-19,0,XX,0,0,0,164.3,156.7,0,0,0,0,01-Aug-19
160426,FUTSTK,ARVIND,29-Aug-19,0,XX,54.3,57.2,54.3,56.7,56.7,773,2588.49,8310000,-78000,01-Aug-19
160427,FUTSTK,ARVIND,26-Sep-19,0,XX,55.2,56.75,55.2,56.75,56.75,10,33.68,258000,30000,01-Aug-19
160428,FUTSTK,ASHOKLEY,29-Aug-19,0,XX,69.85,73.4,67.2,69.25,69.25,13126,55080.69,80706000,5334000,01-Aug-19
160429,FUTSTK,ASHOKLEY,26-Sep-19,0,XX,70.5,73.55,67.6,69.45,69.45,502,2118.51,1788000,138000,01-Aug-19
160430,FUTSTK,ASHOKLEY,31-Oct-19,0,XX,71.65,72.9,68.8,69.5,69.5,20,84.73,78000,24000,01-Aug-19
160431,FUTSTK,ASIANPAINT,29-Aug-19,0,XX,1522.75,1534,1502.55,1512.85,1512.85,4885,44392.88,6205800,-58200,01-Aug-19
160432,FUTSTK,ASIANPAINT,26-Sep-19,0,XX,1525,1538.55,1510,1517.95,1517.95,81,738.23,73800,10200,01-Aug-19
160433,FUTSTK,ASIANPAINT,31-Oct-19,0,XX,0,0,0,1533,1529.55,0,0,1800,0,01-Aug-19
160434,FUTSTK,AUROPHARMA,29-Aug-19,0,XX,568.6,570.45,544.75,553.25,553.25,6257,34783.47,15530000,-44000,01-Aug-19
160435,FUTSTK,AUROPHARMA,26-Sep-19,0,XX,569.45,569.45,547.5,556.85,556.85,127,710.29,150000,2000,01-Aug-19
160436,FUTSTK,AUROPHARMA,31-Oct-19,0,XX,561.85,561.85,556.05,558.45,558.45,3,16.76,3000,-1000,01-Aug-19
160437,FUTSTK,AXISBANK,29-Aug-19,0,XX,673.8,683.15,666.2,673.25,673.25,18547,150035.5,51118800,1166400,01-Aug-19
160438,FUTSTK,AXISBANK,26-Sep-19,0,XX,678.15,685.85,670,677.15,677.15,283,2300.23,454800,-19200,01-Aug-19
160439,FUTSTK,AXISBANK,31-Oct-19,0,XX,686.45,686.45,674,679.9,679.9,19,154.89,21600,4800,01-Aug-19
160440,FUTSTK,BAJAJ-AUTO,29-Aug-19,0,XX,2499.8,2564.1,2484,2551.9,2551.9,5284,33286.19,2168750,34000,01-Aug-19
